SIT || Field1
I met a dear friend of mine after a long time.  I expressed my feelings  in our own usual way, by mutual scolding and abusing (with  complete understanding) and by touching, patting and taking the  hand of the other person, etc... || joy
I felt fear of the purest kind after a car accident.  The  incident and images of horror kept coming back to my mind.  I  wondered what could have happened to my sister, my friend and me,  though nothing very serious actually happened. || fear
Two boys whom I know were telling me, in an indecent manner, how  they had teased a young and shy girl I know.  They had despised  her conviction, scorned and touched her.  I got very angry and  did not try to conceal it and gave it back to them. || anger
My sweetheart left me, or rather we decided to break it off by  mutual consent.  The consequences were - unrestrained weeping,  feelings of loneliness, hopelessness and disconsolation.  I felt  that I should find a friend, to talk to joyfully and to forget. || sadness
Out of sheer curiosity, I went to see a pornographic movie in  Copenhagen.  The room was full of men, who panted and  masturbated.  Very disgusting. || disgust
After having quarelled unnecessarily and without any reason, and  having been stupidly cross in every way. || shame
[ Do not know.] || shame
Forced to fill in a questionnaire. || guilt
When I won a tennis match. || joy
When my dog ran out on thin ice last spring. || fear
When my tennis match was interrupted because a kid cycled right  into the court. || anger
[ No response.] || sadness
[ No response.] || disgust
[ No response.] || shame
[ No response.] || guilt
Celebrations on the graduation day with the orchestra playing in  the garden ( I am a part of this orchestra). || joy
Risk of being involved in a fight after a party. || fear
continously interrupting me by telephoning." || anger
After an exam which I failed. || sadness
[ Normally I do not feel disgusted.] || disgust
When I overtook a car on the mainroad, misjudging the distance of  an oncoming car and this resulted in tooting and flashing from  the other driver (we could have collided), and I had an  acquaintance in the car with me. || shame
I saw a neighbour, from the same appartment block as me, lying     on the road.  He could have been injured or ill.  I kept 20  metres away and did not go to help him. || guilt
When I met an old schhol friend (school love) who works in  Sk+vde. || joy
When I was cycling to school, I nearly got knocked down by a car  which (overtook me too closely) did not give me any swerving space. || fear
When I was deputy manager during the Summer, certain deputies  took liberties, more than what was normal. || anger
When I realized that my girlfriend, whom I like, and I were going  to separate. || sadness
Dog dirt which thaws in the spring. || disgust
When I forgot my mother's birthday. || shame
[ Can not think of anything just now.] || guilt
Passed the last exam. || joy
Was nearly knocked down by a car. || fear
I reached the bus stop and realized that I had forgotten my bus  pass. || anger
My current work load is too much.  The feeling comes back from  time to time. || sadness
[ Can not think of any situation.] || disgust
[ No response.] || shame
[ No response.] || guilt
When my one year old son gives me a spontaneous kiss. || joy
When someone close to me is travelling by car and is delayed. || fear
When someone does something wrong which affects me negatively. || anger
When I think about my parents getting old. || sadness
[ Can not remember.] || disgust
[ No response.] || shame
I do not have the time for other people's problems.  My  mother-in-law is sometimes depressed and I do not have the time,  the desire or the strength to help. || guilt
\"immediately thought of me.\"" || joy
I was driving and a deer suddenly appeared in front of the  car when there was a lot of traffic behind me. || fear
I saw a report on T.V news on apartheid in South Africa.  || anger
[ No response.] || sadness
[ No response.] || disgust
[ No response.] || shame
[ No response.] || guilt
When my girlfriend became pregnant. || joy
When I nearly collided with another car. || fear
The time when someone let the air out of the tyres of my cycle. || anger
When I read a lot and did not remember anything. || sadness
[ No response.] || disgust
[ No response.] || shame
The time that I had to put my dog to sleep. || guilt
[ No response.] || joy
[ No response.] || fear
[ No response.] || anger
Long illness. || sadness
When I passed an exam. || joy
When I was travelling by tram, I tripped and fell against the  door.  I thought that I was going to fall out. || fear
When I missed the tram after having run for it. || anger
The inability to read a book at college. || sadness
If a guy one is not interested in makes advances. || disgust
I drink wine too often. || shame
I do not study enough as I do not understand it properly. || guilt
I worked at a lawyer's office during Summer and I got a very  good reference from him. || joy
I had been watching a triller a dark night in the country and I  had to go the outside toilet on my own.  || fear
When I am accused of something I have not done, I get unbelievably  angry. || anger
When I began to read a thick book, which I had a limited time to  read.  Also when I have a lot of work to do and I cannot keep up. || sadness
Someone vomited on the street. || disgust
I can not think of any incident when I have felt very ashamed.   There are small incidents that I am ashamed of, for instance,  not sending money to the children in Ethiopia. || shame
I had lunch with my ex-boyfriend and did not mention it to my  fiancee.  I felt guilty despite the fact that I felt nothing for  my ex-boyfriend. || guilt
When I was finally qualified for my profession. || joy
Someone attacked me with a knife. || fear
Someone drove into my car and then denied that it had happened. || anger
When I was told that my friend's wife had cancer. || sadness
When I saw a dog which had been knocked down by a car. || disgust
When I boxed my child's ears. || shame
When I was fined for speeding. || guilt
I stopped working (had a boring job). || joy
I was going home by car late one night when it was cold, dark and  windy.  I became rather panicky on the way to my house. || fear
Quarrel in the family. || anger
When I am alone in a room with no contact with anyone -  loneliness drains me. || sadness
When I was on holiday someone vomited in front of me. || disgust
Emptied a bucket of water in a hospital. || shame
When I feigned sick leave from work. || guilt
When I get a hug from someone I love. || joy
I was driving very fast on a small road and I met an oncoming car  in a right handed bend.  The other driver was on his own side of  the road and I had to skid out of it to avoid a collision.  It  was dark. || fear
My car had been towed away by the traffic police because it had  been wrongly parked.  However the sign had been put up only after  I had already parked. || anger
After an operation I had to stay in bed for a long time. || sadness
I was forced to stay in the canteen and eat the food that I had  not asked for but got it anyway. || disgust
When I did not buy what I had promised to. || shame
By mistake I took a book from the library which was not supposed  to be loaned out. || guilt
When I won an unexpected sum of money. || joy
My 2 year old daughter disappeared in a moment of inattention; I  was responsible for her. || fear
A colleague asked me for some advice and as he did not have  enough confidence in me he asked a third person. || anger
I wanted to be pregnant and did not succeed, so I was depressed     at every menstruation. || sadness
In a warm bus full of people, someone vomited and the whole bus  stank. || disgust
I complained about a colleague's behaviour as she goes back on  her word, is often absent and is irresponsible.  I found out that  she was an alcoholic and was trying to fight againt her  addiction. || shame
I spoke to my mother on the phone.  She had skin cancer and was  waiting to be operated.  I forgot to ask her the date of the  operation and just before finishing our conversation she gave me  the date in passing.  || guilt
When I was at a party I met an old friend from an adult  education course.  We had not met for 2 years but had both thought  a lot about each other.  A wonderful experience.  || joy
When I was cycling through the park late one night, two people  jumped out of the woods and tried to stop me.  There were  shouting something at the same time. || fear
When close relatives tried to dissuade me from studying  Psychology because of its low status. || anger
I had a long discussion on politics with an acquaintance.  He  was more knowledgeable than me and I failed to explain my point  of view and was misunderstood so I felt depressed and left. || sadness
When I read a newspaper article on a young girl who had been  raped and assaulted one night by several men when she was unconscious. || disgust
My mother revealed personal details about me and the  negative aspects of my character to other people when I was  present but unable to defend myself. || shame
I was unfaithful to my partner once when he was working abroad  for a long period. || guilt
When I recently got an appartment in central Gottenburg. || joy
When I saw a large spider crawling up the wall. || fear
My employer took too many aspirins for a bad back and also drank  an enormous amount of spirit.  This was dangerous  and he did  not understand that he had done anything wrong. || anger
When I left New York, and all my family and my friends behind me. || sadness
When I slept with a guy because my best friend wanted me to.   He had never had intercourse with anyone and had a terrible  complex about it. || disgust
When I dated a close girlfriend's boyfriend a few times. He told  me that it was over between them and I accepted it.  When she  found out she finished our friendship. || shame
When I broke off with my boyfriend after three years.  It was  quite unexpected for him and there was no particular reason for  the break up, such as someone else. || guilt
When my son returned from mountaineering - healthy in body and  soul. || joy
When one meets new people with whom one is forced to collaborate  with. || fear
The sports fishermen who catch gulls instead of fish with their hooks.    It is often a mistake but it makes me angry. || anger
I feel sad about an event I can not influence. || sadness
When a member of the family complains about the food that is  served, it disgusts me. || disgust
[ Cannot recall any incident when I felt shame.] || shame
I have chosen to put my son in a private school were the  examination marks are low.  Every time that he gives me his term  results I am left with a sense of guilt. || guilt
When I was informed that I had been accepted as a student of  Psychology. || joy
When I was in a little fishing boat and we ran into hard weather  in the open sea. || fear
When I found out that the guy I was dating at a particular time  had a steady relationship going on with someone else for a long  time. || anger
I felt sad and depressed when I heard that our cat had died. || sadness
When I was working as a nurse in a mental hospital, a patient ate  up the contents of another patient's spitoon. || disgust
At primary school, when I vomited in front of others in the middle   of a lesson. || shame
I arrived an hour late for an important meeting ( I had  misunderstood the time). || guilt
When I was acceptted as a student of psychology. || joy
When my son has a pain in his leg (for no apparent reason).   || fear
When, after a week at school, a teacher sent a note home saying  that my son was inattentive and unable to do his lessons. || anger
When I thought that it was going to be impossible for me to start  studying (due to wrong information from the student advisor). || sadness
At a certain person's lack of cleanliness, at home and  personally. || disgust
When I made the same mistake that I had accused someone else of, and  this was obvious to a third pereson. || shame
When I lost something that was valuable to my sister. || guilt
When my son was born. || joy
When I nearly drowned in icy water wearing ice skates.  It was  difficult to get out. || fear
When I was pointed out as a problem child in primary school and  my mother took the teacher's point of view. || anger
When I was accused of neglecting work for the wrong reasons. || sadness
My parents attitude towards each other when they should become  reconciled, despite my father's long-time addiction. || disgust
When I was caught stealing money from my father. || shame
I stole a coconut cake from a reception table and when I put  in my mouth I realized that the host was watching me. || guilt
did not have to do the remaining 5 months." || joy
When I was reprimanded by the manager of the hotel where I  worked during Autumn 1984. || fear
When my parents drove me to a nearby place and went home  immediately instead of waiting a few hours.  They could have  easily waited. || anger
When my ex-girlfriend and I discovered that there was a certain risk  of her being pregnant. || sadness
When I was about to clean the draining board and saw it looked  underneath the sink (I live in a students hostel). || disgust
When my mother caught me masturbating. || shame
As the only person in my family into academics, I ought to have  looked after my younger (and only) sister better, with respect to  her education and life experiences. || guilt
When my older sister told us that she was thinking of joining the  rest of the family for the winter sports holiday. || joy
Slept in a chapel and in the middle of the night I realized that  there was someeone else in the chapel.  I never discovered who  it was and why he was there. || fear
When we were in high school a few guys sometimes provoked a  friend of mine.  They called her a pig and then grunted.  This  irritated most of the girls.  Once, one of the girls got angry at  my friend and said something nasty and this made me terribly  angry. || anger
I talked to my boyfriend on the phone when I was in high spirits  and had a lot to tell him.  I had been looking forward to this  conversation and he did not listen to me to the extent that I  had anticipated. || sadness
A mother who shouts at her child for nothing. || disgust
When I complained to my mother about how untidy the kitchen  loooked, she boxed my ears ( this had never happened before). || shame
As I could not be home before midnight I called home at 11.30 and  asked them to leave the door open so that I could get in.  I  actually woke up the whole family by calling them so late.  My  mother could not go back to sleep, besides she had a conference    the next day and really needed to sleep. || guilt
When I got through the first day here at the department. || joy
When I was cycling past a parked car someone opened the door and  nearly pushed me off my bike and into the traffic. || fear
When my boyfriend sat up half the night playing computer games  with a friend. || anger
When I had to leave my mother and my sister after a week's visit. || sadness
When I saw a big spider from very close. || disgust
When I asked a friend to return the money that I had loaned her  and then remembered that she had repayed me in several ways. || shame
When one of my parents insinuates something about the other  (they are divorced). || guilt
When i was asked to be a child's godmother. || joy
On the way down a ski slope which was difficult and steep. || fear
When my mother interfered in my life. || anger
When I was left alone one week-end without being prepared for  it. || sadness
The first time that I saw a surgeon cut off a leg and put it in a  black rubbish bag. || disgust
When I forgot about a meeting at work. || shame
When I demand too much from my friends. || guilt
When my husband suddenly came to see me at my new job and  brought some flowers and cake with him. || joy
When I was nearly attackad by a man who had been chasing me. || fear
When my father asked me if I was a communist, at the same time he  made it clear that I should no longer see myself as his daughter. || anger
When I applied for a job which I thought I had a good chance of  getting, I was not even granted an interview and did not get the  job. || sadness
T.V features showing the violation of defenceless people. || disgust
When I as a child of 9 or 10 I was playing doctor with the  neighbours boys their mother caught us. || shame
When my husband talked about the restrictions he will have to  accept in his life to make our marriage work.  I felt that it was  directed at me as it was me who had demanded the changes.  We  were with a marriage counsellor then. || guilt
When we were able to afford a new sofa - a leather one which cost  SEK 20000.  I had waited for it for 2-3 years. || joy
Vertigo - standing on a ladder and painting the house. || fear
When my boss enrolled in a course to satisfy his own ends - to  trample on his associates.  I have the misfortune to have one of  my superiors in my course. || anger
When I argue with my mother about the way she treats her two  children differently. || sadness
Spit and vomit. || disgust
Spots on the seat covers of my husband's car. || shame
Not speaking to my sister-in-law due to lack of interest in a  relationship on my side. || guilt
When I recently managed to get my first consulting assignment  \myself\" i.e on my own initiative." || joy
I was within a hair's breadth of knocking down a drunkard who  suddenly ran into the street.  The fear came later when I      realized what could have happened. || fear
When my friend, as usual, forgot the tickets at home for a  performance.  We missed it. || anger
share\" funds and its extension." || sadness
A study visit to a chicken factory : the butchery, the smell,  the environment and the noise. || disgust
Confession to my parents about my involvement in a moped theft. || shame
[ No answer as I see very little difference between shame and  guilt.  Therefore see answer for \shame\".]" || guilt
When I was appointed to position of trust in a group set up to  change the working environment. || joy
I was alone in a cottage I often stay in.  I was woken up by a  rustling sound in the middle of the night. || fear
When I tried to explain to a plumber, face to face, that the  toilet was broken and he did not believe it (it had been mended  ten times). || anger
When the result of a project work was treated nonchalantly  intead of being criticized by the teacher. || sadness
When programmes on violence or pornography are shown on T.V. || disgust
